user_id,entitlement_id,granted_on,source
U0000,E0151,2025-07-24,request
U0000,E0186,2025-06-29,exception
U0000,E0194,2025-04-02,request
U0000,E0523,2025-04-01,request
U0000,E0528,2025-05-22,request
U0000,E0671,2025-04-28,provisioning
U0000,E0566,2025-07-12,provisioning
U0002,E0696,2025-04-29,request
U0002,E0628,2025-05-22,provisioning
U0003,E0278,2025-05-26,request
U0003,E0641,2025-05-08,request
U0003,E0623,2025-04-01,request
U0003,E0613,2025-04-01,request
U0003,E0593,2025-05-28,provisioning
U0003,E0720,2025-06-28,request
U0003,E0616,2025-06-25,request
U0004,E0654,2025-06-25,request
U0004,E0064,2025-07-15,provisioning
U0004,E0601,2025-06-12,request
U0004,E0222,2025-04-13,request
U0005,E0376,2025-04-03,provisioning
U0005,E0066,2025-06-05,request
U0005,E0105,2025-07-12,request
U0006,E0208,2025-07-20,request
U0006,E0211,2025-07-05,request
U0007,E0266,2025-07-28,provisioning
U0007,E0622,2025-05-15,request
U0008,E0400,2025-07-20,request
U0008,E0669,2025-04-21,provisioning
U0008,E0088,2025-07-18,provisioning
U0009,E0538,2025-05-23,request
U0010,E0554,2025-04-17,provisioning
U0010,E0504,2025-05-24,provisioning
U0010,E0726,2025-07-06,request
U0010,E0035,2025-04-09,provisioning
U0011,E0480,2025-05-01,request
U0011,E0118,2025-06-30,request
U0011,E0337,2025-06-03,provisioning
U0011,E0070,2025-04-08,provisioning
U0011,E0241,2025-04-24,provisioning
U0011,E0584,2025-06-16,exception
U0012,E0426,2025-04-26,request
U0013,E0576,2025-06-29,request
U0014,E0170,2025-04-07,request
U0014,E0386,2025-05-24,request
U0014,E0654,2025-07-13,request
U0014,E0433,2025-04-23,request
U0014,E0599,2025-04-10,request
U0014,E0061,2025-07-19,provisioning
U0015,E0162,2025-05-12,request
U0015,E0418,2025-07-22,provisioning
U0015,E0169,2025-06-16,request
U0016,E0589,2025-05-06,request
U0016,E0744,2025-04-05,request
U0016,E0417,2025-06-04,provisioning
U0016,E0377,2025-05-13,provisioning
U0016,E0186,2025-05-21,provisioning
U0016,E0604,2025-06-23,request
U0016,E0559,2025-06-15,request
U0017,E0493,2025-04-28,request
U0017,E0704,2025-05-11,provisioning
U0017,E0578,2025-05-24,request
U0017,E0438,2025-04-19,exception
U0017,E0603,2025-04-08,request
U0017,E0611,2025-07-04,request
U0017,E0594,2025-05-15,provisioning
U0017,E0525,2025-04-05,request
U0017,E0348,2025-06-17,exception
U0017,E0210,2025-06-02,exception
U0018,E0383,2025-05-15,request
U0018,E0269,2025-05-01,request
U0018,E0306,2025-06-21,request
U0018,E0665,2025-04-24,provisioning
U0018,E0667,2025-05-30,request
U0019,E0141,2025-04-22,request
U0019,E0275,2025-06-08,request
U0019,E0526,2025-06-17,request
U0020,E0679,2025-07-19,provisioning
U0021,E0734,2025-04-03,request
U0021,E0745,2025-06-17,provisioning
U0021,E0446,2025-04-28,request
U0022,E0415,2025-05-18,request
U0023,E0735,2025-06-15,request
U0023,E0726,2025-04-23,provisioning
U0023,E0237,2025-07-01,exception
U0023,E0276,2025-06-08,request
U0023,E0057,2025-05-18,request
U0023,E0273,2025-07-21,request
U0024,E0696,2025-05-20,exception
U0025,E0245,2025-04-16,request
U0025,E0445,2025-04-07,provisioning
U0025,E0590,2025-04-05,provisioning
U0025,E0127,2025-06-27,request
U0026,E0729,2025-07-29,request
U0026,E0049,2025-05-16,request
U0026,E0606,2025-04-14,request
U0026,E0455,2025-05-02,request
U0026,E0429,2025-05-15,provisioning
U0026,E0554,2025-06-29,request
U0026,E0460,2025-05-11,request
U0027,E0655,2025-06-23,provisioning
U0027,E0124,2025-07-11,request
U0027,E0587,2025-04-06,request
U0028,E0021,2025-04-14,request
U0028,E0207,2025-05-06,request
U0028,E0114,2025-05-08,request
U0028,E0673,2025-07-18,provisioning
U0029,E0435,2025-07-12,request
U0029,E0367,2025-05-27,request
U0029,E0464,2025-05-12,request
U0029,E0221,2025-07-22,provisioning
U0029,E0310,2025-05-12,request
U0030,E0647,2025-04-09,provisioning
U0030,E0194,2025-06-02,request
U0030,E0413,2025-06-01,provisioning
U0030,E0385,2025-07-28,request
U0030,E0482,2025-07-03,request
U0031,E0682,2025-05-03,provisioning
U0031,E0432,2025-07-14,exception
U0031,E0624,2025-07-19,provisioning
U0031,E0044,2025-07-09,provisioning
U0032,E0715,2025-04-13,request
U0032,E0041,2025-04-19,request
U0032,E0296,2025-05-15,request
U0032,E0334,2025-06-30,request
U0032,E0157,2025-06-25,provisioning
U0032,E0557,2025-04-16,exception
U0033,E0654,2025-06-05,request
U0033,E0085,2025-04-25,request
U0033,E0311,2025-04-24,provisioning
U0033,E0094,2025-07-12,request
U0033,E0228,2025-07-01,request
U0033,E0038,2025-05-24,exception
U0034,E0016,2025-07-12,provisioning
U0034,E0691,2025-04-30,request
U0035,E0553,2025-04-02,request
U0035,E0199,2025-04-23,request
U0035,E0090,2025-04-14,request
U0036,E0166,2025-06-03,request
U0036,E0662,2025-04-03,request
U0036,E0086,2025-06-16,provisioning
U0036,E0374,2025-04-19,provisioning
U0036,E0659,2025-07-24,provisioning
U0036,E0734,2025-06-14,request
U0037,E0239,2025-07-28,request
U0037,E0580,2025-07-03,request
U0037,E0482,2025-05-07,request
U0037,E0732,2025-07-18,provisioning
U0037,E0208,2025-06-28,request
U0038,E0372,2025-07-23,request
U0039,E0377,2025-05-27,provisioning
U0040,E0515,2025-06-11,request
U0040,E0149,2025-07-11,request
U0040,E0098,2025-04-07,request
U0040,E0153,2025-07-26,request
U0040,E0219,2025-07-14,provisioning
U0040,E0682,2025-05-14,request
U0040,E0221,2025-04-06,request
U0041,E0294,2025-07-19,provisioning
U0041,E0637,2025-04-28,request
U0041,E0049,2025-07-26,request
U0042,E0020,2025-05-21,provisioning
U0042,E0354,2025-04-08,request
U0042,E0364,2025-05-26,request
U0042,E0735,2025-06-24,exception
U0042,E0552,2025-07-20,provisioning
U0043,E0335,2025-07-26,exception
U0043,E0207,2025-04-03,request
U0043,E0429,2025-07-02,provisioning
U0043,E0114,2025-07-13,request
U0044,E0068,2025-07-03,provisioning
U0044,E0673,2025-06-12,request
U0044,E0128,2025-04-25,provisioning
U0044,E0631,2025-07-06,request
U0044,E0562,2025-06-04,exception
U0044,E0135,2025-04-08,request
U0045,E0009,2025-04-01,request
U0045,E0142,2025-04-02,request
U0045,E0362,2025-06-23,request
U0045,E0408,2025-04-03,request
U0046,E0630,2025-04-17,request
U0046,E0242,2025-05-16,request
U0046,E0217,2025-07-09,provisioning
U0046,E0314,2025-05-06,request
U0046,E0513,2025-07-26,provisioning
U0046,E0351,2025-05-12,request
U0046,E0203,2025-04-13,request
U0047,E0749,2025-07-12,request
U0047,E0124,2025-07-24,request
U0047,E0104,2025-04-27,request
U0048,E0572,2025-06-20,provisioning
U0048,E0081,2025-05-26,request
U0048,E0440,2025-07-20,provisioning
U0048,E0722,2025-07-14,request
U0048,E0050,2025-05-11,provisioning
U0048,E0721,2025-04-20,request
U0048,E0664,2025-04-30,request
U0049,E0261,2025-06-30,request
U0049,E0534,2025-07-19,provisioning
U0049,E0377,2025-05-08,provisioning
U0049,E0133,2025-05-24,request
U0049,E0192,2025-06-21,request
U0049,E0643,2025-06-22,provisioning
U0049,E0527,2025-07-16,provisioning
U0049,E0321,2025-04-27,request
U0049,E0447,2025-07-09,provisioning
U0049,E0623,2025-04-27,request
U0050,E0267,2025-04-21,request
U0050,E0330,2025-04-11,provisioning
U0050,E0660,2025-06-06,request
U0050,E0493,2025-04-17,request
U0051,E0353,2025-07-23,request
U0051,E0491,2025-04-07,request
U0052,E0291,2025-04-22,request
U0052,E0406,2025-05-09,request
U0052,E0212,2025-07-07,request
U0052,E0135,2025-06-20,request
U0052,E0044,2025-04-03,request
U0052,E0340,2025-07-20,request
U0053,E0522,2025-05-11,request
U0053,E0226,2025-06-06,request
U0053,E0203,2025-05-21,request
U0053,E0099,2025-07-01,request
U0053,E0683,2025-06-18,provisioning
U0054,E0003,2025-05-28,request
U0054,E0046,2025-05-28,exception
U0055,E0381,2025-04-18,request
U0055,E0138,2025-05-28,provisioning
U0055,E0213,2025-07-26,request
U0056,E0220,2025-06-24,request
U0056,E0449,2025-05-06,provisioning
U0056,E0265,2025-05-28,request
U0056,E0704,2025-07-11,request
U0056,E0480,2025-07-18,request
U0056,E0548,2025-05-31,request
U0057,E0668,2025-04-06,provisioning
U0058,E0158,2025-06-10,request
U0058,E0046,2025-05-20,provisioning
U0058,E0402,2025-06-25,provisioning
U0058,E0278,2025-05-29,exception
U0058,E0447,2025-04-02,request
U0059,E0615,2025-05-08,request
U0060,E0695,2025-04-27,request
U0060,E0216,2025-07-09,request
U0060,E0082,2025-04-24,provisioning
U0060,E0720,2025-07-20,provisioning
U0061,E0322,2025-04-29,provisioning
U0061,E0282,2025-04-15,provisioning
U0061,E0653,2025-04-15,request
U0061,E0606,2025-04-01,request
U0062,E0707,2025-04-20,request
U0062,E0608,2025-07-17,request
U0062,E0024,2025-04-05,provisioning
U0062,E0589,2025-04-30,request
U0062,E0199,2025-04-19,request
U0063,E0045,2025-05-20,request
U0063,E0674,2025-05-11,request
U0063,E0106,2025-04-02,request
U0063,E0732,2025-06-01,request
U0063,E0156,2025-07-26,request
U0063,E0468,2025-06-03,request
U0063,E0097,2025-05-21,provisioning
U0064,E0693,2025-04-07,provisioning
U0064,E0019,2025-05-16,request
U0065,E0093,2025-05-11,request
U0065,E0219,2025-07-11,request
U0065,E0099,2025-07-26,provisioning
U0065,E0124,2025-05-23,request
U0065,E0452,2025-07-18,request
U0065,E0334,2025-07-09,request
U0066,E0292,2025-05-25,provisioning
U0066,E0399,2025-05-27,request
